id;nome;categoria;ativo;tipo;delivery;site;digital_menu;variacoes;descricao
23677434;Ge Classic;Hambúrgueres;Y;other;Y;Y;Y;Único:36;Smash burger de 130g, ( duas carnes 65g cada), queijo cheddar, cebola caramelizada, bacon em fatias e molho rosé no pão brioche de fermentação natural.
23852518; S - Ge Para Dois;S - Mais Pedidos ;Y;other;N;N;N;Único:89;2 burgers à sua escolha, uma porção de fritas + Refrigerante de 1L
23852525;Ge Para Dois;Mais Pedidos;Y;other;N;Y;N;Único:94;2 hambúrgueres à sua escolha, uma porção de fritas + Refrigerante de 1L
23928311;S - Pepsi Black;S - Bebidas;Y;other;N;N;N;Único:7;
23928312;S - Combo Ultra Burger;S - Gê Combos!;Y;other;N;N;N;Único:35;Smash burger de 100g (duas carnes, 50g cada), creme de cheddar e molho rosé no pão brioche de fermentação natural. + 1 porção de batata-frita P + Refrigerante de 350m
23928313;S - Guaraná Antarctica Zero;S - Bebidas;Y;other;N;N;N;Único:7;
23928314;S - Schweppes Citrus;S - Bebidas;Y;other;N;N;N;Único:7;
23928315;S - Água com Gás;S - Bebidas;Y;other;N;N;N;Único:5;
23928316;S - Coca Cola de 1l;S - Bebidas;Y;other;N;N;N;Único:11;
23928317;S - Combo Ge Onion;S - Gê Combos!;N;other;N;N;N;Único:50;Smash burger de 130g (duas carnes, 65g cada), duas fatias de queijo cheddar, onion rings, fatias de bacon e molho barbecue no pão brioche de fermentação natural. + 1 porção de batata-frita P + Refrigerante de 350m
23928323;S - Pepsi Black 1l;S - Bebidas;N;other;N;N;N;Único:11;
23928324;S - Pepsi;S - Bebidas;Y;other;N;N;N;Único:7;
23928325;S - Combo Ge Cream;S - Gê Combos!;N;other;N;N;N;Único:57;Smash burger de 130g (duas carnes, 65g cada), queijo cheddar, Catupiry Original empanado no panko, alface e tomate, e maionese no pão brioche de fermentação natural. + 1 porção de batata-frita P + Refrigerante de 350ml
